 GRB	  Tel  Yr   Mo     Dat      Days    Freq      Fl      rms   Ref
 970508   VLA  1997  May   16.49    7.59    8.46     520.      18.  fwk00 
 970508   VLA  1997  May   16.79    7.89    8.46     602.      24.  fwk00 
 970508   VLA  1997  May   17.30    8.40    8.46     604.      56.  fwk00 
 970508  OVRO  1997  May   17.38    8.48   86.80     -99.    1500.  sfkm98
 970508  PdBI  1997  May   17.42    8.52   86.20     450.     800.  bkg+98
 970508  WSRT  1997  May   18.61    9.71    1.40     -60.      70.  gwb+98
 970508   VLA  1997  May   18.83    9.93    1.43     -99.      63.  fwk00 
 970508   VLA  1997  May   18.85    9.95    4.86     480.      64.  fwk00 
 970508   VLA  1997  May   18.85    9.95    8.46     610.      51.  fwk00 
 970508  PdBI  1997  May   19.07   10.17   86.24    2380.     510.  bkg+98
 970508  PdBI  1997  May   19.07   10.17  232.03    1620.    2270.  bkg+98
 970508  WSRT  1997  May   20.82   11.92    1.40     -30.     110.  gwb+98
 970508   VLA  1997  May   21.00   12.10    8.46    1270.     120.  fwk00 
 970508   VLA  1997  May   21.13   12.23    8.46     930.     120.  fwk00 
 970508  PdBI  1997  May   21.15   12.25   86.20    1740.     430.  bkg+98
 970508  PdBI  1997  May   21.15   12.25  232.03   -3050.    2110.  bkg+98
 970508  WSRT  1997  May   21.61   12.71    1.40     -80.      80.  gwb+98
 970508   VLA  1997  May   22.10   13.20    4.86     410.      47.  fwk00 
 970508   VLA  1997  May   22.10   13.20    8.46     570.      42.  fwk00 
 970508   VLA  1997  May   22.49   13.59    4.86     360.      31.  fwk00 
 970508   VLA  1997  May   22.49   13.59    8.46     880.      33.  fwk00 
 970508  PdBI  1997  May   22.99   14.09   87.76    1640.     470.  bkg+98
 970508  PdBI  1997  May   22.99   14.09  228.40     670.    3000.  bkg+98
 970508   VLA  1997  May   23.00   14.10    8.46    1260.     100.  fwk00 
 970508   VLA  1997  May   23.13   14.23    8.46     960.     100.  fwk00 
 970508  PdBI  1997  May   23.38   14.48   87.76     380.     610.  bkg+98
 970508  WSRT  1997  May   23.43   14.53    1.40    -290.     130.  gwb+98
 970508   VLA  1997  May   24.48   15.58    8.46     550.      44.  fwk00 
 970508   VLA  1997  May   24.96   16.06    8.46     470.      43.  fwk00 
 970508  WSRT  1997  May   25.77   16.87    1.40     110.     160.  gwb+98
 970508   VLA  1997  May   25.85   16.95    8.46     480.      45.  fwk00 
 970508   VLA  1997  May   27.67   18.77    4.86     770.      54.  fwk00 
 970508   VLA  1997  May   27.67   18.77    8.46     500.      49.  fwk00 
 970508  WSRT  1997  May   27.73   18.83    1.40     200.     110.  gwb+98
 970508   VLA  1997  May   28.10   19.20    8.46     538.     100.  fwk00 
 970508   VLA  1997  May   28.23   19.33    8.46     835.     100.  fwk00 
 970508  PdBI  1997  May   28.41   19.51   86.00     -10.     290.  bkg+98
 970508   VLA  1997  May   29.10   20.20    4.86    1350.      55.  fwk00 
 970508   VLA  1997  May   29.10   20.20    8.46    1200.      47.  fwk00 
 970508  WSRT  1997  May   30.39   21.49    1.40      70.     130.  gwb+98
 970508   VLA  1997  May   30.95   22.05    4.86     740.      46.  fwk00 
 970508   VLA  1997  May   30.95   22.05    8.46     810.      48.  fwk00 
 970508  WSRT  1997  May   31.40   22.50    1.40     130.     120.  gwb+98
 970508   VLA  1997  May   31.99   23.09    4.86     550.      43.  fwk00 
